OBJECTID,PCPC_NUM,GLOBALID,NAME,P_DIST,ST_EXT,PT_ADD,ZIP,SURVEY_YEAR,GLA,GLA_2003,GLA_1995,COMM_COUNT,COMM_COUNT_2003,COMM_COUNT_1995,OCC_COUNT,VAC_COUNT,VAC_RATE,VAC_RATE_2003,VAC_RATE_1995,CORRIDOR_TYPE,PHYS_CHAR,AGE,STAGE,STAGE_2003,STAGE_1995,COND_PUB,COND_PRIV,STORE_MIX,COND_SUM,COND_SUM_2003,COND_SUM_1995,CRM_ORG,SS_DIST,CDC_TAX_CREDIT,E_ZONES,FY12_MGMT,FY12_MGMT_AMOUNT,FY13_MGMT,FY13_MGMT_AMOUNT,FY14_MGMT,FY14_MGMT_AMOUNT,FY15_MGMT,FY15_MGMT_AMOUNT,FY16_MGMT,FY16_MGMT_AMOUNTS,FY12_CLEANING,FY12_CLEANING_AMOUNT,FY13_CLEANING,FY13_CLEANING_AMOUNT,FY14_CLEANING,FY14_CLEANING_AMOUNT,FY15_CLEANING,FY15_CLEANING_AMOUNT,FY11_SIP,FY11_SIP_TOTAL,FY12_SIP,FY12_SIP_TOTAL,FY13_SIP,FY13_SIP_TOTAL,FY14_SIP,FY14_SIP_TOTAL,FY15_SIP,FY15_SIP_TOTAL,FY14_IS,FY14_IS_AMOUNT,FY15_IS,FY15_IS_AMOUNT,FY08_11_SBP_CITY,FY08_11_SBP_TOTAL,FY12_15_SBP_CITY,FY12_15_SBP_TOTAL,FY16_19_SBP_CITY,FY16_19_SBP_TOTAL,FY08_11_PD,FY12_15_PD,FY16_19_PD,Shape__Area,Shape__Length
86,82,ac00efc3-7319-4e2c-9e94-f81edecdd361,50th and Baltimore,University SW,Baltimore/48th53rd,5000 Baltimore Avenue,19143,2017,"130,000","140,000","125,000",81,94,90,57,24,29.60%,33.00%,30.00%,2,1,1920,4,1,4,2,2,2,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219655.44921875,3149.28447295212
87,83,dbf574d1-564b-47bc-9a2e-d9cccf5b2ce3,46th and Baltimore,University SW,Baltimore/45th48th,4600 Baltimore Avenue,19143,2012,"70,000",,"40,000",58,,53,47,11,19.00%,,15.10%,1,1,1920,1,,1,1,2,2,5,,6,University City District,UCD,UCD,,Main Street Program,50000,Main Street Program,50000,,,,,,,,,,,,,,,1,12000,,,2,11345,3,6620,1,2733,1,50000,1,50000,807403.05,1607403.05,31000,31000,250000,450000,,,,65645.9296875,1806.62843885955
88,110,9d246b81-6f01-4137-a8c7-a7daa2e56880,City Avenue Shopping Center,West Park,City Ave/76thgolf course,7700 City Avenue,19151,2011,"159,000","120,000","120,000",31,35,37,26,5,16.10%,9.00%,2.70%,2,2,1940,1,1,1,1,1,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95401.7265625,1462.13077601453
89,111,2388c168-9022-4360-98e0-9f8229cfaa63,City and Haverford,West Park,Haverford/RhoadsCity Ave,7538 Haverford Avenue,19151,2011,"140,000","100,000","100,000",76,67,61,72,4,5.30%,3.00%,1.60%,2,1,1940,3,1,1,2,3,1,6,4,3,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,2,32000,,,,,,,,,,,,,73420,200000,,,,,,143937.109375,3323.68993119931
90,36,87367b05-918f-4c0d-83a4-e8857b65cb7e,10th and Snyder,South,Snyder/9th11th,1000 Snyder Avenue,19148,2014,"31,000","64,000",,22,46,,19,3,13.60%,15.00%,,1,1,1920,1,1,,2,2,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28205.71875,867.363890204398
91,29,bae270bf-6791-4d6e-b7a0-df35dc5666f4,Pier 70 Plaza and vicinity,South,Delaware RiverI95/TaskerMifflin,1801 S. Columbus Boulevard,19148,2011,"420,000","336,372","243,000",12,12,4,12,0,0.00%,0.00%,0.00%,3,3,1990,1,2,2,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808531.87890625,4267.42315352079
92,280,c56b2c68-65ba-4bf9-a99e-81f736a46095,Rising Sun and Adams vicinity,Lower NE,FoulkrodSEPTA/GodfreyAdams,5675 Rising Sun Ave,19120,2012,"388,000","430,000","430,000",46,55,65,36,10,21.70%,12.00%,9.20%,3,3,1980,3,2,1,2,2,3,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492292.3515625,3313.86537834074
93,282,9a5b7878-cadf-4e59-8c57-fbf713cd8ead,Adams and the Boulevard,Lower NE,LangdonTabor/HarrisonGarland,4600 E Roosevelt Blv,19124,2012,"720,000","447,000","335,000",85,61,46,67,18,21.20%,3.00%,6.50%,3,5,1950,2,4,4,2,2,1,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705339.90234375,4899.6535780992
94,284,cf46b309-f717-492c-bb88-f858e7359b80,Castor and Wyoming,Lower NE,Castor and Wyoming Aves,4501 Castor Ave,19124,2016,"152,000","209,000","175,000",11,15,16,11,0,0.0%,20.0%,18.7%,3,5,1980,1,4,1,2,3,2,7,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147194.734375,3035.36247934347
95,285,a036bc11-853a-4ca4-8834-c29eb3ecf498,Frankford Avenue/Church,Lower NE,Frankford/UnityAdams,4261 Frankford Ave,19124,2012,"115,000","151,017","80,000",47,70,52,30,17,36.20%,38.50%,34.60%,2,1,1900,3,3,3,3,4,3,10,10,9,Frankford CDC,,Frankford CDC,,TCMP,75000,TCMP,75000,TCMP,75000,TCMP,125000,TCMP,125000,,,Corridor Cleaning Program,40000,Corridor Cleaning Program,40000,Corridor Cleaning Program,45000,,,1,12000,,,1,3325,2,9225,,,,,,,325000,325000,,1358333,,,,58591.44140625,2363.56037725432
96,198,997fa172-018f-44c2-9707-799e011c5e98,Kensington Ave/Harrowgate,River Wards,Kensington/PacificOntario,3501 Kensington Avenue,19134,2016,"25,000","149,000","80,000",19,62,31,10,9,47.4%,51.60%,48.40%,1,1,1910,3,3,3,3,4,4,11,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65013.87109375,1439.09982251474
97,199,c675a0a7-652d-4ab1-907a-1c3ec75e5814,Harrowgate Plaza,North,I and Venango,3528 I Street,19132,2016,"60,000","149,000","100,000",11,24,14,8,3,27.3%,29.20%,35.70%,1,3,1960,3,1,3,3,3,4,10,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65205.57421875,1164.22682530663
98,204,07c451cd-8e5e-4d6d-976c-2d915d453a3f,Bridesburg,River Wards,RichmondAlmond/PlumSellers,4396 Richmond Street,19137,2014,"45,000","114,000","30,000",32,52,13,22,10,31.30%,11.50%,0.00%,1,5,1910,3,1,1,2,2,2,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65103.171875,1580.3160790961
99,32,78daf226-aae2-46f3-94b6-ee2579ddb588,South Seventh Street,South,S 7th/SigelPorter,2200 S. 7th Street,19148,2014,"140,000","235,000","122,000",138,162,143,87,51,37.00%,36.00%,50.30%,2,1,1910,1,3,1,3,4,3,10,12,11,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,1,12000,1,12000,,,,,,,,,,,,,,,,91368.5390625,2461.01316203342
100,33,d74ef30c-d5eb-4157-ab6d-1f67628eb4bc,Reed and Passyunk,South,Percy11th/WhartonDickenson,1400 S. 10th Street,19147,2014,"82,000","81,000","84,000",14,15,15,14,0,0.00%,20.00%,20.00%,2,5,1970,1,1,4,2,2,2,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66045.5,1382.01377772119
101,34,0dd51cf4-5a1b-45fb-97d5-1720889d6d55,East Passyunk,South,Passyunk Ave/DickinsonJuniper,1722 E. Passyunk Avenue,19148,2014,"193,000","219,000","175,000",164,199,172,146,18,11.00%,18.00%,4.70%,6,1,1910,4,3,1,1,2,2,5,5,5,East Passyunk Avenue BID,East Passyunk Avenue BID,East Passyunk Avenue BID,,,,,,,,,,,,,,,,,,,,9,39707,6,33334,4,34181,5,37795,8,64508,3,132000,2,100000,925679,925679,47632,47632,369487,619487,,,,81595.37109375,2289.43384058002
102,37,fcea1280-fcaf-4987-85e9-6f34f5ec45d9,Broad and Morris,South,Broad/DickinsonMcClellan,1701 S. Broad Street,19148,2014,"98,000","127,000",,51,63,,45,6,11.80%,11.10%,,1,1,1890,1,1,,3,3,2,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91316.203125,1501.92967544502
103,46,eacce39b-fd63-463f-bba9-15859bb3baad,20th and Passyunk,South,Passyunk Ave/18th22nd,2010 W. Passyunk Avenue,19145,2014,"34,000","48,000","28,000",28,46,28,24,4,14.30%,13.00%,17.60%,1,1,1920,1,1,1,1,2,3,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84473.20703125,1860.02462183943
104,47,94205a0a-9cab-4f87-8e0c-b3ae538e05e2,Snyder Avenue/17th-23rd,South,Snyder/17th23rd,2101 S. 20th Street,19145,2014,"90,000","145,000","85,000",71,111,67,56,15,21.10%,30.00%,23.90%,1,1,1910,1,1,1,2,3,2,7,8,8,Diversified Community Services,,,,,,,,,,,,,,Corridor Cleaning Program,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146335.62890625,2484.74624732675
105,48,199151f4-df06-43b9-8d7d-b55ff42173b5,Wilson Park,South,Snyder/25th28th,2500 Snyder Avenue,19145,2014,"42,000","45,850","102,000",8,22,16,6,2,25.00%,50.00%,18.80%,2,3,1950,3,3,3,4,4,4,12,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63151.15625,1766.34846683108
106,50,24f803ee-e8a7-4670-90fc-a877cf1d4424,Point Breeze Avenue,South,Point Breeze/FederalMorris,1300 Point Breeze Avenue,19146,2014,"122,000","161,000","90,000",107,139,100,67,40,37.40%,26.00%,30.00%,2,1,1890,1,1,3,2,3,2,7,7,8,"South Phila HOMES, Diversified Comm Srvcs",,,,,,,,,,,,,,,,Corridor Cleaning Program,30000,Corridor Cleaning Program,30000,Corridor Cleaning Program,25000,,,1,12000,1,12000,3,36000,1,15000,,,,,1007420,1007420,,,,,,,,144087.58203125,3462.09759737851
107,52,fa8e8118-74da-4251-9437-bd7efa58d43c,Washington Avenue West,Central,Washington/16th24th,2001 Washington Avenue,19146,2012,"285,000",,"260,000",61,40,39,50,11,18.00%,13.00%,0.00%,6,5,1900,4,4,4,2,2,3,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222474.10546875,3907.4655239943
108,56,5cb5f129-7ba4-46c0-a719-0a8fe8497ac9,30th and Grays Ferry,South,Grays Ferry/28th31st,3001 Grays Ferry Avenue,19146,2014,"135,000","122,686","82,000",13,14,12,11,2,15.40%,7.00%,17.00%,2,2,1980,4,1,1,1,2,1,4,4,4,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603344,603344,,,,,,,,123406.2578125,1813.66519976157
109,57,e3d51aaa-efc1-4620-91d5-63bbccff4555,reserved  - Christian St. vicinity,Central,Christian/17th22nd,,19146,2012,,,,30,,,17,13,43.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73897.0546875,2079.79083555376
110,63,bffe450f-35eb-457a-be52-06da1d075dd1,Woodland and Island Avenues,Lower SW,Island/WoodlandAMTRAK,7298 Woodland Avenue,19142,2015,"20,000",,,10,,,7,3,30.00%,,,1,5,1930,4,,,3,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44679.375,945.593992251749
111,64,ee239bbe-d84c-4db7-8110-3f5d76b1dd12,Elmwood Avenue,Lower SW,Elmwood/65thIsland,6924 Elmwood Avenue,19142,2015,"225,000","228,000","118,000",92,97,56,84,8,8.70%,14.00%,7.10%,1,1,1920,1,3,1,3,3,2,8,9,9,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,1,1360,,,,,,,,,,,,,,,,,,237803.375,5190.14895119282
112,65,275b4cfc-b337-4dd3-a331-c7fa0c285cde,61st and Passyunk,Lower SW,61st and Passyunk,6098 Passyunk,19153,2015,"40,000",,"35,000",6,,5,5,1,16.70%,,20.00%,6,2,1950,1,,3,4,4,3,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEC Center for Culinary Enterprise,,,391757.01171875,2775.69862267187
113,60,f359dee7-7495-40d9-b1fd-4ffe8c67ff8f,Penrose Plaza and vicinity,Lower SW,Island Avenue/76th81st,2900 Island Avenue,19153,2015,"315,000","343,000","290,000",42,38,39,25,17,40.50%,11.00%,5.10%,3,2,1970,3,1,1,2,2,3,7,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422808.3046875,3587.878505357
114,67,51d81f71-b0c2-4d9f-b735-db2a8c81631f,54th and Woodland,University SW,Woodland/52nd56th,5400 Woodland Avenue,19143,2012,"50,000","141,000","30,000",57,83,40,46,11,19.30%,25.30%,30.00%,1,1,1900,1,3,3,4,4,2,10,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85912.9453125,2074.36232882271
115,70,cf38d6b3-ecbc-43ef-8969-cad053cec92b,58th and Florence,University SW,58th/WarringtonFlorence,1601 S. 58th Street,19143,2012,"10,000","35,000","7,000",13,28,14,5,8,61.50%,25.00%,57.00%,1,1,1900,3,3,3,4,4,4,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8451.96875,504.254305605178
116,71,d34cb9a6-f3ce-465c-8307-04187936bf2b,52nd and Chester,University SW,Chester/Paxon52nd,5131 Chester Avenue,19143,2012,"10,000","15,000","8,000",10,12,8,6,4,40.00%,25.00%,63.00%,1,1,1900,3,1,3,4,4,4,12,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3532.84375,256.325696884433
117,88,bd27075c-e571-4b7f-9c2a-6252417b49c6,46th Street and vicinity,University SW,42nd49th/FilbertLocust,4600 Chestnut Street,19139,2017,"235,000","334,000","110,000",83,114,92,65,18,21.70%,19.30%,23.90%,2,5,1920,4,4,4,2,2,2,7,8,8,The Enterprise Center CDC,,TEC-CDC,,,,,,,,,,,,,,,,,,,,1,12000,,,,,,,,,,,,,,,,,,,,,,987202.5078125,4915.10462457316
118,89,aac08252-041a-4962-8329-67fc78b4bb7c,48th and Spruce,University SW,47th49th/SprucePine,4800 Spruce Street,19143,2017,"80,000","80,000","75,000",39,38,33,36,3,7.70%,13.20%,15.20%,1,1,1930,1,1,1,3,2,2,7,7,7,The Enterprise Center CDC,,TEC-CDC,,,,,,,,,,,,,,,,,,,,1,4243,,,,,,,2,10786,1,50000,,,,,,,,,TEC Center for Culinary Enterprise,,,54271.66796875,1200.39323828175
119,7,2ff2460a-70e8-4748-b5d6-8acf61b304d9,5th and Delancey,Central,5th and Delancey,318 S. 5th Street,19106,2012,"20,000",,"20,000",5,,5,5,0,0.00%,,0.00%,1,5,1960,1,,1,1,1,2,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8009.24609375,414.645880390607
120,9,1af8a198-cd7f-4c04-bea3-90eaf4c9a7a5,Pine Street,Central,Pine/9th12th,1100 Pine Street,19147,2012,"65,000",,,46,,,41,5,10.90%,,,1,1,1840,4,,,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42398.37890625,1223.0136426913
121,38,5d3c4bf5-b318-4792-90ac-35f11e86e4f5,Broad and Oregon,South,13th18th/RitnerBigler,2684 S. Broad Street,19148,2011,"183,000","92,000","92,000",111,56,56,100,11,9.90%,10.30%,10.70%,2,1,1910,1,1,1,1,1,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154852.8359375,3799.7248654398
122,39,5c37475f-0f11-4afe-b24c-88409ade3bf9,Packer Park ,Lower South,Broad17th/I76Hartranft,1526 Packer Avenue,19145,2011,"63,000","60,000","35,000",25,14,10,25,0,0.00%,0.00%,0.00%,1,2,1960,1,2,1,1,2,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107972.21875,2015.77568848611
123,40,46e0ddc4-0306-48a6-8840-ea52ffa3d30b,Sports Complex,Lower South,DarienBroad/PackerI95,1300 Pattison Avenue,19148,2011,"112,000","60,000","43,000",12,6,4,12,0,0.00%,0.00%,0.00%,5,4,1990,4,4,1,1,1,1,3,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650845.21484375,5388.62610500213
124,231,0bd16532-9d88-45b4-bbff-f5f40e4ee6ee,Conrad and Sunnyside,Lower NW,Conrad/Indian QueenTilden,3427 Conrad Street,19129,2013,"18,000",,,17,,,13,4,23.50%,,,1,1,1900,1,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32821.08203125,981.436049700231
