address,zip,name,num_stores,quality
6033 Castor,19149.0,Castor and Benner,24.0,3.0
900 Levick St,19111.0,Oxford and Levick,32.0,1.0
6640 Oxford Ave,19111.0,Oxford and Unruh,1.0,1.0
5423 Oxford Ave,19124.0,Oxford Circle,54.0,3.0
5901 Rising Sun Ave,19120.0,Crescentville,62.0,2.0
6400 Rising Sun Ave,19111.0,Lawndale,141.0,3.0
8000 Verree Rd,19111.0,Rhawn and Verree,13.0,1.0
7938 Dungan Rd,19152.0,Dungan Road,21.0,2.0
8500 Bustleton Ave,19152.0,Bustleton and Tustin,25.0,3.0
7936 Bustleton Ave,19152.0,Bustleton Avenue-Rhawnhurst,62.0,2.0
8001 Castor Ave,19152.0,Castor and Rhawn,37.0,2.0
7600 Castor Ave,19152.0,Castor and Glendale,77.0,3.0
1729 Cottman Ave,19111.0,Cottman/Loretto-Pennway,30.0,2.0
6053 Ridge Avenue,19128.0,Ridge Avenue - Roxborough,126.0,1.0
5555 Ridge Avenue,19128.0,Ridge and Hermit,18.0,2.0
6901 Ridge Avenue,19128.0,Ridge and Domino,73.0,1.0
7800 Ridge Avenue,19122.0,Ridge and Shawmont,30.0,2.0
8965 Ridge Avenue,19121.0,Ridge and Bells Mill,20.0,3.0
2910 S. 70th Street,19153.0,70th and Lindbergh,8.0,1.0
900 East Hunting Park Avenue,19124.0,Hunting Park Ave/Juniata Park,33.0,2.0
2800 Willits Road,19136.0,Ashton and Willits Roads,16.0,3.0
11000 Roosevelt Boulevard,19116.0,Boulevard Plaza,31.0,1.0
9990 Roosevelt Boulevard,19115.0,Red Lion Plaza,32.0,2.0
13001 Bustleton Avenue,19116.0,Bustleton and Byberry,59.0,2.0
9853 Bustleton Avenue,19115.0,Presidential/Belair,45.0,1.0
10833 Bustleton Avenue,19116.0,Bustleton / Somerton Center,54.0,2.0
1681 Grant Avenue,19115.0,Grant Plaza,41.0,3.0
6300 Chew Avenue,19138.0,Chew and Washington,9.0,2.0
7700 Crittenden Street,19118.0,Market Square - Chestnut Hill,21.0,1.0
6201 Germantown Avenue,19144.0,Germantown/Upsal-High,58.0,3.0
6701 Germantown Avenue,19119.0,Germantown/Gorgas-Upsal,70.0,2.0
7133 Germantown Avenue,19119.0,Germantown/Roumfort-Gorgas,65.0,1.0
6555 Greene Street,19119.0,Pelham Plaza,8.0,1.0
1800 W. Cheltenham Avenue,19126.0,19th and Cheltenham,24.0,3.0
5200 N. Front Street,19120.0,Duncannon and Mascher,3.0,3.0
6201 N. Front Street,19120.0,Adams Run Shopping Center,18.0,4.0
6061 Ogontz Avenue,19141.0,Godfrey and Ogontz,37.0,3.0
7175 Ogontz Avenue,19138.0,72nd and Ogontz,51.0,3.0
7601 Ogontz Avenue,19150.0,Cheltenham & Ogontz,98.0,2.0
6801 Ogontz Avenue,19126.0,68th and Ogontz,24.0,3.0
5950 Ogontz Avenue,19141.0,Ogontoz and Champlost,26.0,3.0
301 West Mt Pleasant,19119.0,Mount Pleasant/Cresheim-Emlen,21.0,3.0
4661 N. 5th Street,19140.0,5th and the Boulevard,64.0,3.0
6773 N. 5th Street,19126.0,5th and Cheltenham,29.0,1.0
101 E. Olney Avenue,19120.0,One and Olney Square,53.0,2.0
5701 N. Broad Street,19141.0,Broad and Olney,149.0,2.0
6151 N. Broad Street,19141.0,Broad and Stenton/Godfrey,36.0,2.0
2153 Chelten Avenue,19138.0,Chelten Ave/Ogontz-Wister,58.0,3.0
9965 Bustleton Avenue,19116.0,Bustleton and Red Lion,42.0,1.0
11709 Bustleton Avenue,19116.0,Leo Mall/Lumar Center & Vicinity,31.0,2.0
1840 Grant Avenue,19115.0,Bustleton/Welsh/Grant and Vicinity,104.0,2.0
12405 Academy Road,19154.0,Parkwood Center,28.0,2.0
3320 Grant Avenue,19114.0,Grant-Academy Plaza & vicinity,35.0,1.0
2481 Grant Avenue,19114.0,Grant and the Boulevard,63.0,2.0
3218 Willits Road,19136.0,Holme Ave. and Willits Rd.,41.0,3.0
2899 Holme Avenue,19152.0,Holme Circle,36.0,2.0
11000 Rennard Avenue,19116.0,Philmont Shopping Center,16.0,4.0
9353 Krewstown Road,19115.0,Krewstown Center,45.0,2.0
151 Byberry Road,19116.0,Philmont and Byberry,17.0,3.0
3221 Red Lion Road,19114.0,Academy Plaza,42.0,2.0
10000 Verree Road,19116.0,Red Lion & Verree,33.0,2.0
2040 Red Lion Road,19116.0,American Heritage Center,2.0,2.0
9101 E Roosevelt Boulvard,19114.0,Welsh and the Boulevard,116.0,2.0
2801 Kensignton Avenue,19134.0,Kensington and Somerset,72.0,4.0
8900 Frankford Ave,19136.0,Frankford and Megargee,56.0,2.0
9200 Frankford Ave,19114.0,Frankford and Linden,24.0,2.0
9440 State Road,19114.0,Del-Air Shopping Center,14.0,3.0
9902 Frankford Ave,19114.0,Morrell Plaza and Park Center,42.0,1.0
8500 Essington Avenue,19153.0,International Airport,180.0,1.0
601 S. Broad Street,19146.0,Broad and South,160.0,2.0
"6000 Haverford Avenue
",19151.0,60th and Girard,40.0,4.0
3137 N. Broad Street,19132.0,Broad and Allegheny,26.0,2.0
300 W Allegheny Avenue,19133.0,5th and Allegheny,17.0,3.0
338 E Allegheny,19134.0,C and Allegheny,17.0,3.0
3300 Henry Avenue,19129.0,Falls Center/EPPI,,
6601 Haverford Avenue,19151.0,65006800 Haverford Ave,35.0,1.0
"2125 North 63rd Street
",19082.0,Overbrook Station,12.0,2.0
6701 Chew Avenue,19119.0,Chew and Phil Ellena,19.0,2.0
5305 Chew Avenue,19138.0,The Shoppes at LaSalle,11.0,2.0
5301 Rising Sun Avenue,19120.0,Rising Sun Avenue/Olney,26.0,2.0
4701 Rising Sun Avenue,19120.0,Rising Sun and Wyoming,78.0,2.0
8235 Stenton Avenue,19150.0,Stenton and Mt. Airy,30.0,2.0
7201 Stenton Avenue,19138.0,Stenton and Washington Lane,68.0,2.0
1431 Vernon Road,19150.0,Vernon Road,17.0,3.0
1600 Wadsworth Avenue,19150.0,Wadsworth Avenue,79.0,1.0
461 E. Wyoming Avenue,19120.0,D and Wyoming,44.0,2.0
2001 W Hunting Park Ave,19140.0,20th and Hunting Park,35.0,3.0
4322 N. Broad Street,19140.0,Broad and Hunting Park,50.0,2.0
3141 Frankford Avenue,19134.0,Frankford and Allegheny ,49.0,3.0
861 E. Allegheny Avenue,19134.0,Kensington and Allegheny,205.0,3.0
7301 Frankford Avenue,19136.0,Frankford Ave - Mayfair,219.0,2.0
8601 Torresdale Ave,19136.0,Torresdale Ave - Holmesburg,7.0,4.0
8000 Frankford Avenue,19136.0,Frankford Ave - Holmesburg,82.0,2.0
8445 Frankford Ave,19136.0,Holmesburg Shopping Center,19.0,2.0
3739 N. 6th Street,19140.0,"5th, Erie, and Rising Sun",51.0,2.0
4222 Germantown Avenue,19140.0,Germantown/Nicetown,53.0,4.0
3701 Germantown Avenue,19140.0,"Broad, Germantown, and Erie",185.0,3.0
3200 N. Front Street,19134.0,Front and Allegheny,114.0,2.0
8400 Germantown Avenue,19118.0,Chestnut Hill,260.0,1.0
68 West Chelten Avenie,19144.0,Central Germantown,307.0,3.0
4943 Wayne Avenue,19144.0,Wayne/Manheim-Wyneva,42.0,3.0
5100 Germantown Avenue,19144.0,Germantown/Coulter-Logan,97.0,2.0
744 East Chelten Avenue,19144.0,Chew and Chelten,49.0,3.0
4827 N. Broad Street,19141.0,Broad and Logan/Wyoming,160.0,2.0
5060 N. 5th Street,19120.0,5th and Lindley,118.0,3.0
"5601 N. 5th Street
5601 N. 5th Street",19120.0,5th and Olney,215.0,2.0
"6021  N. 5th Street
6021  N. 5th Street",19120.0,5th & Spencer,38.0,2.0
6601 N. Broad Street ,19126.0,Old York Road and Oak Lane,63.0,3.0
4000 Woodhaven Road,19154.0,Knights Road Center and Vicinity,22.0,2.0
1455 Franklin Mills Circle,19154.0,Philadelphia Mills,239.0,2.0
14425 Bustleton Avenue,19116.0,Bustleton and Philmont,47.0,2.0
311 South 56th Street,19139.0,56th and Spruce,12.0,4.0
,,31st and Norris,,
3423 Haverford,19104.0,35th and Haverford,12.0,4.0
6251 Market Street,19139.0,63rd and Market,48.0,4.0
"5201 Haverford
",19139.0,52nd and Haverford,25.0,4.0
531 South 52nd Street,19143.0,52nd and Cedar,50.0,3.0
101 South 52nd Street,19139.0,52nd Street,282.0,2.0
633 South 56th Street,19143.0,56th and Cedar,12.0,4.0
5601 Chestnut Street,19139.0,56th and Market ,65.0,2.0
101 South 60th Street,19139.0,60th and Market,188.0,3.0
539 South 60th Street,19143.0,60th and Cedar,74.0,3.0
500 North 63rd Street,19151.0,63rd and Girard,58.0,3.0
550 Carpenter Lane,19119.0,Carpenter/McCallum-Sherman,15.0,2.0
4518 Germantown Avenue,19144.0,Wayne Junction,12.0,3.0
