lat,lng,name,type,grade
-75.1614484813145,39.9745420483066,SHILOH CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.2023032086617,39.9734472095492,AL MOSHEH SHULE OF POSITIVE ED,PRIVATE,ELEMENTARY/MIDDLE
-75.1492684065243,39.9918101231344,HOPE PARTNERSHIP FOR EDUCATION,PRIVATE,MIDDLE/HIGH
-75.1679706725354,39.9637216124698,SPRING GARDEN ACADEMY,PRIVATE,PRE-SCHOOL
-75.0282220001821,40.0882879999167,ANNE FRANK SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.085153299292,40.021629263581204,FRANKFORD HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1627529996906,39.9650489996572,FRANKLIN LEARNING CENTER,DISTRICT,HIGH SCHOOL
-75.1616399993992,39.9635299998603,BENJAMIN FRANKLIN HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1042930779703,40.042448242956205,BENJAMIN FRANKLIN SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1505849997142,39.9237619995179,FURNESS HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1807633815337,39.98437491988,EDWARD GIDEON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1829564114473,39.921831576159796,GIRARD ACADEMIC MUSIC PROGRAM,DISTRICT,MIDDLE/HIGH
-75.17681046006491,39.9245565246392,STEPHEN GIRARD SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1452251593178,40.0387049134426,PHILADELPHIA HIGH SCHOOL FOR GIRLS,DISTRICT,HIGH SCHOOL
-75.2381330700406,39.992554908740395,SAMUEL GOMPERS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.16753885945171,39.956148479331006,FRIENDS SELECT SCHOOL,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.1753455478035,39.9560986229139,GREENE TOWNE SCHOOL INC.,PRIVATE,KINDERGARTEN
-75.21140060503899,39.9486024038561,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.181783472823,39.9468888984396,PHILADELPHIA SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.1580562211964,39.9514322380152,FREIRE CHARTER SCHOOL,CHARTER,MIDDLE SCHOOL
-75.1663226360723,39.9578909273953,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,CHARTER,MIDDLE/HIGH
-75.2246184769057,39.93877080021029,EVELYN GRAVES CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.2274197928588,39.935170837529704,CORNERSTONE CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.1774991493087,40.0247497631081,EAGLES NEST CHRISTIAN SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
