number,lat,lng
309.0,40.0437632,-75.08519140000001
310.0,40.0497292,-75.0744541
312.0,40.0354204,-75.077455
313.0,40.039319,-75.06981400000001
316.0,40.0326126,-75.0590717
317.0,40.030605,-75.0683989
363.03,40.1051833,-74.970225
347.01,40.0645576,-75.0329783
348.02,40.0687035,-75.00973
349.0,40.0453848,-75.00907679999999
351.0,40.048841100000004,-74.98597159999998
352.0,40.0559122,-74.9907443
353.01,40.065931299999995,-74.9934646
263.01,40.072814799999996,-75.1637161
8.04,39.9485646,-75.1677563
12.02,39.9459117,-75.16994749999999
12.01,39.9471666,-75.1798721
8.03,39.949374799999994,-75.17424890000001
9809.0,39.9051799,-75.2174145
27.02,39.9280114,-75.14956059999999
30.02,39.9327263,-75.1711915
30.01,39.929064000000004,-75.17199120000001
28.02,39.9288001,-75.1614073
9807.0,39.9104684,-75.14316559999999
27.01,39.9285526,-75.15370329999999
9806.0,39.9055378,-75.1707151
337.01,40.0672105,-75.0482983
337.02,40.0707532,-75.0578212
315.02,40.0392658,-75.0548693
314.01,40.0457134,-75.0665728
314.02,40.0432797,-75.060286
167.01,39.9911965,-75.1619017
167.02,39.9904175,-75.15781770000001
279.01,40.0458879,-75.1544482
279.02,40.0374381,-75.1543087
81.01,39.948364899999994,-75.2360506
71.02,39.940920399999996,-75.2282511
88.02,39.9529808,-75.20278929999999
87.02,39.9538114,-75.20704350000001
87.01,39.953565600000005,-75.2104988
81.02,39.9522216,-75.2345584
86.02,39.9569725,-75.21670300000001
375.0,39.984069899999994,-75.2551922
9808.0,39.9714517,-75.26217700000001
180.02,39.9836344,-75.10670959999999
88.01,39.95393189999999,-75.1984477
122.01,40.003464799999996,-75.2106388
98.01,39.9775172,-75.2665972
71.01,39.938158,-75.2249984
28.01,39.9289729,-75.1568319
9805.0,40.0177581,-75.144182
8.01,39.949737400000004,-75.1804054
11.01,39.9449918,-75.162524
274.02,40.039070200000005,-75.1251352
86.01,39.9537341,-75.216593
365.02,40.1235705,-74.9993521
367.0,39.960724799999994,-75.1439885
376.0,39.959900899999994,-75.15516509999999
386.0,40.0582762,-75.21109129999999
385.0,40.0757528,-75.21462340000001
387.0,40.0833122,-75.213077
388.0,40.0571595,-75.1982438
389.0,40.054343100000004,-75.16827640000001
9800.0,39.9880961,-75.1967773
269.0,40.05560070000001,-75.13240479999999
270.0,40.0493231,-75.1331512
271.0,40.0484793,-75.1263611
272.0,40.047233899999995,-75.1180889
273.0,40.0377547,-75.1189432
275.0,40.040049700000004,-75.1322707
276.0,40.0429404,-75.1392771
277.0,40.05054439999999,-75.1512267
278.0,40.0425278,-75.14716259999999
280.0,40.026119,-75.15464809999999
281.0,40.0304473,-75.1491299
282.0,40.034870399999996,-75.1403327
318.0,40.0311021,-75.0769892
319.0,40.02306,-75.0648988
320.0,40.0271751,-75.0548674
321.0,40.0170175,-75.05897519999999
323.0,40.0210898,-75.05152700000001
325.0,40.02639179999999,-75.0452561
326.0,40.0302773,-75.0396263
9891.0,40.037783000000005,-75.00340849999999
329.0,40.037901,-75.0249713
330.0,40.0335974,-75.0338492
332.0,40.043941100000005,-75.04482809999999
9803.0,40.0812065,-75.01069770000001
355.0,40.091128499999996,-75.02932440000001
358.0,40.1213169,-75.0257898
359.0,40.11034179999999,-75.0151645
360.0,40.104267,-75.0108187
361.0,40.0987766,-74.99074809999999
362.03,40.076092100000004,-74.97429670000001
353.02,40.073077399999995,-74.9968713
362.01,40.082029999999996,-74.9868079
363.02,40.0973153,-74.98051509999999
369.0,39.9494281,-75.19575479999999
373.0,39.9024981,-75.18793609999999
372.0,39.9129487,-75.1599379
383.0,40.010863,-75.1248984
390.0,40.03573,-75.093884
378.0,39.980580200000006,-75.09568449999999
377.0,39.982438099999996,-75.1506932
