lat,lng,name
40.0302375,-75.1049508,IHOP
39.97683480000001,-75.1272262,Loco Pez
39.98272,-75.15014599999999,City Gourmet
39.99925229999999,-75.13340529999999,Freddy & Tony's Restaurant
40.00736790000001,-75.1913471,Trolley Car Cafe
39.9123934,-75.1827023,Penrose Diner
39.88058290000001,-75.2384829,Good 2 Go
39.9513999,-75.17377379999999,Village Whiskey
40.005138,-75.23992199999999,Starbucks
40.0291925,-75.2062344,Chubby's Steaks
40.0766021,-75.1288415,Tiffin Indian Cuisine Elkins Park
39.9386112,-75.27196880000001,Papa John's Pizza
40.0962645,-74.95002420000002,Bensalem Township Country Club
40.13607289999999,-74.96421219999999,Red Robin Gourmet Burgers and Brews
39.9670667,-75.1733,Jack's Firehouse
40.0726573,-75.03403279999999,Las Margaritas
40.0024476,-75.2768483,Sang Kee Asian Bistro
39.96388890000001,-75.1444444,Honey's Sit 'n Eat
39.99728200000001,-75.0927623,Chick-fil-A
40.02206549999999,-75.0400844,Curran's Irish Inn
40.0264687,-75.232111,La Collina
40.0694026,-75.2399362,Pina's Pizza
40.04874,-75.062068,Nick's Roast Beef
39.986325,-75.231815,Pete's Pizza
39.9539708,-75.19603699999999,Pod
40.055581,-75.1580079,BP
40.101395,-75.0286053,Subway
39.924844,-75.1720672,Melrose Diner
39.948655,-75.144893,Amada
40.0315704,-75.1038361,Pho 75
39.982431,-75.127061,Philadelphia Brewing Co
39.99157020000001,-75.1380491,Popeyes Louisiana Kitchen
40.035719,-75.17425899999999,Mr Hook Fish & Chicken
39.94970199999999,-75.1617703,El Vez
40.00263229999999,-75.2227973,Boston Market
40.024735,-75.2222673,Winnie's Manayunk
40.07641359999999,-75.1286915,Subway
40.0878536,-75.0927524,White Elephant Restaurant
40.09520699999999,-74.94492699999999,Fishers Complex Bensalem
40.0016962,-75.2743104,Tiffin Indian Cuisine Wynnewood
39.9559106,-75.169578,City Tap House Logan Square
40.13128400000001,-75.013151,Whiskey Tango
39.94912219999999,-75.170749,Parc
39.9694715,-75.1345836,Frankford Hall
39.9942626,-75.0971982,Santucci Square Pizza V
40.0643013,-75.23740719999999,Saladworks
40.0649447,-74.9852792,Emperor's Garden Chinese
39.9600405,-75.28860019999999,Casey's Saloon & Restaurant
40.0820767,-75.17096599999999,Fresca Pizza
40.115352,-74.9590072,Carrabba's Italian Grill
39.9408402,-75.15887029999999,Morning Glory Diner
39.956727,-75.19710400000001,Han Dynasty
39.9829175,-75.1543806,The Crepe Truck Philly
40.0269444,-75.1508333,Crab Shack
40.0109907,-75.1894208,Franklin's East Falls
39.9140467,-75.1528021,Oregon Diner
39.9232783,-75.2605956,GREEN CHINA
39.99575699999999,-75.234044,Larry's Steaks
39.95280829999999,-75.2103611,Local 44
39.961304,-75.15930999999999,Prohibition Taproom
40.024521,-75.221127,Bayou Bar & Grill
40.038252,-75.101873,El Balconcito
40.07594999999999,-75.03435,Red Lobster
39.947701,-75.16812399999999,Monk's Cafe
40.03210979999999,-75.0496429,Steak & Hoagie Works-Mayfair
40.0771023,-75.20887259999999,McNally's Tavern
39.9508618,-75.1748874,Vernick Food & Drink
39.9779704,-75.15845569999999,Koja Grille
39.9840955,-75.0986868,Byrne's Tavern
40.0253927,-75.223868,Han Dynasty
40.05673529999999,-75.2363424,Maria's Ristorante on Summit
40.06798999999999,-75.00627,Brick House Bar & Grill
40.06919,-75.008099,Starbucks
39.9389267,-75.15827449999999,Sabrina's Cafe
39.931393,-75.166487,Green Eggs Cafe
39.9827216,-75.24168340000001,Papp's Pizza
40.1135346,-75.2142216,Scoogi's Classic Italian
40.0628903,-75.1369588,Ga Yeon Rice Cake
40.05163450000001,-75.010786,Domino's Pizza
40.0958009,-75.0152585,Dunkin'
40.08260930000001,-75.0229943,Subway
39.9503667,-75.163242,Lucky Strike Philadelphia
39.9798141,-75.1298205,Soup Kitchen Cafe
39.8642933,-75.144475,Club Champagne
39.876087,-75.2431336,Chick-fil-A
39.8911914,-75.2420197,Wawa
39.9146759,-75.2206181,Dunkin'
39.964654,-75.224115,Pete's Pizza
39.95416669999999,-75.2116667,Abyssinia Restaurant
39.9595196,-75.139526,Delilah's
39.9608917,-75.1712139,Pizzeria Vetri
39.9542298,-75.20148689999999,City Tap House University City
40.1043306,-74.9508776,Subway
40.07979919999999,-75.02866,Miller's Ale House - Philadelphia
39.976197,-75.30359800000001,Wawa
39.9771983,-75.11848669999999,Wawa
40.0348349,-75.0660679,Papa John's Pizza
40.0763031,-75.2062924,Cake
39.9472602,-75.1535347,Talula's Garden
39.9672651,-75.1401741,El Camino Real Restaurant
39.9946452,-75.09525409999999,Boston Market
39.93574419999999,-75.1619951,Devil's Den
39.9830842,-75.2417011,Domino's Pizza
40.0033634,-75.28372019999999,Panera Bread
40.01193599999999,-75.112366,Little Caesars Pizza
40.037429,-75.03828,Mayfair Diner
40.1017476,-75.0072138,Chickie's & Pete's
40.0956837,-74.9750493,Hong Kong Chinese Restaurant
39.9718208,-75.1286446,Interstate Drafthouse
39.9490386,-75.1471998,Buddakan
40.0070789,-75.12807099999999,Burger King
39.90076789999999,-75.1648469,Stadium Grille
39.90699549999999,-75.29173899999999,Subway
