name,lat,lng,category,mode,dist,time
John F Kennedy Plaza (LOVE Park),39.953457,-75.165063,recreation,transit,-1.0,6.0
Roberto Clemente Playground,39.965643,-75.168109,recreation,transit,-1.0,15.0
Matthias Baldwin Park,39.96102,-75.16975699999998,recreation,transit,-1.0,11.0
22nd and Catharine Park,39.942277000000004,-75.179381,recreation,transit,-1.0,12.0
Coxe Park,39.956702,-75.175521,recreation,transit,-1.0,9.0
River Field,39.962136,-75.179553,recreation,transit,-1.0,15.0
Levy Park,39.955031,-75.166774,recreation,transit,-1.0,6.0
18th and Jackson War Memorial,39.9244,-75.176295,recreation,transit,-1.0,15.0
17th and Carpenter Play Lot,39.939968,-75.1715,recreation,transit,-1.0,8.0
South Philadelphia High School Park,39.924044,-75.169527,recreation,transit,-1.0,15.0
Washington Square,39.947008000000004,-75.15229000000002,recreation,transit,-1.0,12.0
Fitler Square,39.947596999999995,-75.179774,recreation,transit,-1.0,9.0
Charles Seger Park,39.943705,-75.158684,recreation,transit,-1.0,12.0
10th and Lemon Playground,39.963531,-75.15490799999998,recreation,transit,-1.0,14.0
Hawthorne Park,39.940667,-75.162817,recreation,transit,-1.0,12.0
Sister Cities Park,39.958033,-75.170005,recreation,transit,-1.0,9.0
Starr Garden Playground,39.942888,-75.152214,recreation,transit,-1.0,15.0
Torun Triangle,39.956762,-75.168436,recreation,transit,-1.0,9.0
Binswanger Triangle,39.960951,-75.175208,recreation,transit,-1.0,11.0
William H (Billy) Markward Memorial Playground,39.947556,-75.18395799999998,recreation,transit,-1.0,12.0
William H (Billy) Markward Memorial Playground,39.947556,-75.18395799999998,recreation,transit,-1.0,12.0
Cianfrani Park,39.940682,-75.15537900000002,recreation,transit,-1.0,15.0
Philadelphia Museum of Art,39.967935,-75.176073,recreation,transit,-1.0,14.0
Ben-Gurion Place,39.951605,-75.148538,recreation,transit,-1.0,13.0
Commerce Street Walk,39.951169,-75.146651,recreation,transit,-1.0,14.0
Waverly Street Community Garden,39.944711,-75.161022,recreation,transit,-1.0,9.0
Sartain Garden,39.947835999999995,-75.16033,recreation,transit,-1.0,7.0
South Street Community Garden,39.94271,-75.156719,recreation,transit,-1.0,12.0
Von Colln Field,39.96353,-75.175318,recreation,transit,-1.0,13.0
Rail Park,39.959922999999996,-75.15885,recreation,transit,-1.0,13.0
Barnes Foundation Museum,39.960027000000004,-75.172471,recreation,transit,-1.0,10.0
Wharton Square,39.93554,-75.183235,recreation,transit,-1.0,15.0
Basilica Green,39.957128999999995,-75.168461,recreation,transit,-1.0,9.0
Walter Palumbo Recreation Center,39.941338,-75.158149,recreation,transit,-1.0,14.0
Reliance Triangle,39.967196,-75.178937,recreation,transit,-1.0,15.0
Galusha Pennypacker Park,39.95825,-75.16935699999998,recreation,transit,-1.0,8.0
Shakespeare Park,39.959039000000004,-75.17095400000002,recreation,transit,-1.0,9.0
Aviator Park,39.957903,-75.171749,recreation,transit,-1.0,9.0
Sister Cities Park,39.958033,-75.170005,recreation,transit,-1.0,9.0
Cret Park,39.955531,-75.166714,recreation,transit,-1.0,7.0
Rittenhouse Square,39.949464,-75.17189300000003,recreation,transit,-1.0,4.0
Franklin Square,39.955697,-75.150369,recreation,transit,-1.0,15.0
Giuseppe Bardascino Park,39.93785,-75.159948,recreation,transit,-1.0,15.0
OConnor Pool,39.946034999999995,-75.183489,recreation,transit,-1.0,12.0
Delancey Park,39.944179999999996,-75.147708,recreation,transit,-1.0,15.0
Rodin Museum,39.961465000000004,-75.174588,recreation,transit,-1.0,11.0
Clarence H Clark Park,39.948919000000004,-75.21001700000002,recreation,transit,-1.0,15.0
William H (Billy) Markward Memorial Playground,39.947556,-75.18395799999998,recreation,transit,-1.0,12.0
Vine Street Park (95),39.957053,-75.157503,recreation,transit,-1.0,13.0
Vine Street Park (95),39.957053,-75.157503,recreation,transit,-1.0,13.0
Philadelphia History Museum at the Atwater Kent,39.950348,-75.151955,recreation,transit,-1.0,11.0
Vine Street Park (95),39.957053,-75.157503,recreation,transit,-1.0,13.0
