,name,lat,lng,category,mode,dist,time
36,CENTRAL HIGH SCHOOL,40.0372850996777,-75.1507482501065,schools,bicycle,1.2,9.47
37,JULIA W. HOWE SCHOOL,40.0413185655449,-75.1422093713412,schools,bicycle,1.13,9.05
38,MARTIN LUTHER KING HIGH SCHOOL,40.056462024960496,-75.16167785536359,schools,bicycle,0.7,7.72
39,PARKWAY NORTHWEST HIGH SCHOOL,40.0564530955096,-75.1651703669058,schools,bicycle,0.95,9.67
40,JOSEPH PENNELL SCHOOL,40.0433940035014,-75.1507814774704,schools,bicycle,0.7,5.3
41,SAMUEL PENNYPACKER SCHOOL,40.0652550495601,-75.15894649056241,schools,bicycle,1.22,10.03
42,GENERAL LOUIS WAGNER SCHOOL,40.0517474803904,-75.1476796206116,schools,bicycle,0.63,5.33
43,OMBUDSMAN NORTHWEST,40.0559490453277,-75.15647125520358,schools,bicycle,0.49,4.22
44,JAMES LOGAN SCHOOL,40.0308530602314,-75.1520599505873,schools,bicycle,1.59,11.77
45,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,40.0494270004526,-75.1547169995902,schools,bicycle,0.1,0.65
46,MASTERY CHARTER SCHOOL AT PASTORIUS,40.0482079997674,-75.1614239994098,schools,bicycle,0.55,4.93
47,PRINCE HALL SCHOOL,40.0477074202454,-75.1495605206067,schools,bicycle,0.4,3.32
48,THEODORE ROOSEVELT SCHOOL,40.0482382288608,-75.17505705050701,schools,bicycle,1.56,13.33
49,WILLIAM ROWEN SCHOOL,40.058749817373794,-75.1485660747121,schools,bicycle,0.77,6.25
50,WEST OAK LANE CHARTER SCHOOL,40.0595120027579,-75.1634134086327,schools,bicycle,0.87,7.72
51,WIDENER MEMORIAL SCHOOL,40.0367059998385,-75.1465980005368,schools,bicycle,1.24,9.38
52,Einstein Medical Center - Philadelphia,40.036848,-75.141589,medical,bicycle,1.47,11.28
53,Health Center 9,40.048776000000004,-75.133255,medical,bicycle,1.28,9.7
54,Covenant House Health Services,40.033541,-75.165651,medical,bicycle,1.7,13.85
55,Morris Estate Cultural Center,40.050455,-75.146292,recreation,pedestrian,0.52,14.45
56,Lonnie Young Recreation Center of East Germantown,40.050035,-75.159207,recreation,pedestrian,0.29,8.08
57,Awbury Park and Recreation Center,40.053652,-75.163177,recreation,bicycle,0.82,7.27
58,Fisher Park,40.044127,-75.130177,recreation,bicycle,1.54,12.08
59,Wisters Woods Park,40.036147,-75.155686,recreation,bicycle,1.28,9.67
60,William B Simons Recreation Center,40.062062,-75.15695600000002,recreation,bicycle,0.88,7.95
61,Wakefield Park,40.034494,-75.14996500000002,recreation,bicycle,1.31,9.45
62,Vernon Park,40.036533,-75.17555899999998,recreation,bicycle,1.71,13.33
63,Fanny Kemble Abolitionist Memorial Park,40.039912,-75.15055,recreation,bicycle,0.9,6.27
64,Charles M Finley Playground,40.064661,-75.170728,recreation,bicycle,1.41,11.42
65,Morris Estate Cultural Center,40.050455,-75.146292,recreation,bicycle,0.57,4.55
66,Cliveden Park,40.051748,-75.177187,recreation,bicycle,1.66,13.65
67,A Albert Cherashore Playground,40.038709,-75.136907,recreation,bicycle,1.49,10.95
68,Lonnie Young Recreation Center of East Germantown,40.050035,-75.159207,recreation,bicycle,0.35,3.18
69,Waterview Recreation Center,40.04515900000001,-75.167753,recreation,bicycle,1.01,8.18
70,Belfield Recreation Center,40.042077,-75.156348,recreation,bicycle,0.66,4.8
71,Harpers Hollow Park,40.042165,-75.151938,recreation,bicycle,0.76,5.95
72,Wister Playground,40.032574,-75.16032,recreation,bicycle,1.53,12.85
73,Morton Playground,40.039965,-75.174346,recreation,bicycle,1.64,13.27
74,Clarkson Park,40.036661,-75.145175,recreation,bicycle,1.3,9.6
75,Shevchenko Park,40.034544,-75.14533399999998,recreation,bicycle,1.45,10.87
76,West Oak Lane Senior Center,40.064351,-75.15426500000002,recreation,bicycle,1.12,9.58
77,S & J Food Market,40.053343,-75.15610840000002,supermarket,pedestrian,0.31,8.98
78,The Fresh Grocer of LaSalle,40.04353010000001,-75.1599335,supermarket,bicycle,0.79,6.82
79,H Mart Elkins Park,40.0629904,-75.13693420000001,supermarket,bicycle,1.77,14.48
80,Save A Lot,40.051316799999995,-75.17359920000001,supermarket,bicycle,1.42,11.3
81,Family Dollar,40.05010770000001,-75.1418142,supermarket,bicycle,0.84,6.82
82,YMG Stenton Supermarket,40.0604406,-75.1673986,supermarket,bicycle,1.04,9.03
83,Hans Family Discount Store,40.0379463,-75.17669149999998,supermarket,bicycle,1.78,14.27
84,Family Dollar,40.066868400000004,-75.14591879999998,supermarket,bicycle,1.43,11.07
85,Family Dollar,40.0346189,-75.17542309999997,supermarket,bicycle,1.73,13.53
86,S & J Food Market,40.053343,-75.15610840000002,supermarket,bicycle,0.32,2.77
87,ALDI,40.04661,-75.14226790000002,supermarket,bicycle,0.86,7.0
88,Town Supermarket Inc,40.03003100000001,-75.16467209999998,supermarket,bicycle,1.7,13.93
89,Save More Market,40.04329600000001,-75.1287059,supermarket,bicycle,1.66,12.67
90,My Destiny Supermarket,40.0284075,-75.14673259999998,supermarket,bicycle,1.88,13.23
91,BP,40.055581,-75.1580079,restaurant,pedestrian,0.46,13.2
92,Crown Fried Chicken,40.0515028,-75.1504003,restaurant,pedestrian,0.29,8.13
93,Sugafoot Cafe',40.0517414,-75.15649619999998,restaurant,pedestrian,0.17,4.63
94,Rita's Italian Ice & Frozen Custard,40.05621399999999,-75.158939,restaurant,pedestrian,0.51,14.32
95,Cafe Soho,40.05504009999999,-75.12593290000002,restaurant,bicycle,1.88,14.62
96,Relish,40.0634151,-75.15309690000002,restaurant,bicycle,1.11,9.32
97,BP,40.055581,-75.1580079,restaurant,bicycle,0.5,4.48
98,Mr Hook Fish & Chicken,40.035719,-75.17425899999998,restaurant,bicycle,1.67,13.78
99,Crab Shack,40.0269444,-75.1508333,restaurant,bicycle,1.92,13.68
100,Ga Yeon Rice Cake,40.0628903,-75.1369588,restaurant,bicycle,1.67,13.85
101,Jong Ka Jib,40.052031,-75.127381,restaurant,bicycle,1.77,14.07
102,Kim's Restaurant,40.04214299999999,-75.128999,restaurant,bicycle,1.74,13.42
103,Giovanni's Pizzeria,40.0335107,-75.17580229999999,restaurant,bicycle,1.85,14.62
104,Bruno's Pizza,40.0671465,-75.1464731,restaurant,bicycle,1.38,10.58
105,Crown Fried Chicken,40.0515028,-75.1504003,restaurant,bicycle,0.29,2.33
106,Vernie's Soul Food Inc,40.02735300000001,-75.154005,restaurant,bicycle,1.84,13.13
107,Papa John's Pizza,40.04492909999999,-75.14390350000002,restaurant,bicycle,0.81,6.42
108,Little Caesars Pizza,40.062858299999995,-75.15181439999998,restaurant,bicycle,1.05,8.43
109,Little Caesars Pizza,40.062862,-75.15187999999998,restaurant,bicycle,1.05,8.67
110,KFC,40.04267189999999,-75.14467979999998,restaurant,bicycle,0.93,7.2
111,Checkers,40.0586217,-75.16332059999998,restaurant,bicycle,0.8,7.55
112,Crab & Claw,40.071907700000004,-75.15737159999998,restaurant,bicycle,1.67,13.87
113,In & Out Pizza,40.07002749999999,-75.1575821,restaurant,bicycle,1.54,12.78
114,Quality Donuts,40.03414029999999,-75.1767809,restaurant,bicycle,1.81,14.17
115,Popeyes Louisiana Kitchen,40.0334182,-75.176998,restaurant,bicycle,1.85,14.42
116,O&M Halal,40.03045439999999,-75.1654369,restaurant,bicycle,1.75,14.48
117,Subway,40.0379285,-75.1529793,restaurant,bicycle,1.05,10.72
118,Happy House,40.044688,-75.1499089,restaurant,bicycle,0.58,4.32
119,China Garden Restaurant,40.06701339999999,-75.1780335,restaurant,bicycle,1.79,14.87
120,St Vincents,40.04158230000001,-75.16780390000002,restaurant,bicycle,1.27,10.37
121,Go Hyang San Chun,40.068091700000004,-75.1466599,restaurant,bicycle,1.41,11.22
122,Golden China,40.0450515,-75.164513,restaurant,bicycle,0.83,7.0
123,New Ogontz Pizza,40.0446432,-75.1498849,restaurant,bicycle,0.58,4.32
124,La Rose Jazz Club,40.0346552,-75.17300300000002,restaurant,bicycle,1.77,14.35
125,Sugafoot Cafe',40.0517414,-75.15649619999998,restaurant,bicycle,0.17,1.43
126,Domino's Pizza,40.040638200000004,-75.1438893,restaurant,bicycle,1.25,9.78
127,Tyemeka's Soul Food Restaurant,40.0381549,-75.1769466,restaurant,bicycle,1.78,14.28
128,Red Star,40.0280364,-75.1460816,restaurant,bicycle,1.92,14.25
129,Takka Grill & Shrimpies,40.06751609999999,-75.1471273,restaurant,bicycle,1.37,10.72
130,Family Spot Jamaican Restaurant,40.05595,-75.14137,restaurant,bicycle,1.12,8.72
131,Taco Bell,40.0426126,-75.14462490000003,restaurant,bicycle,0.9,7.53
132,The Flavor Spot ll,40.02948,-75.14648299999998,restaurant,bicycle,1.83,13.22
133,Holiday Pizza,40.064157,-75.153924,restaurant,bicycle,1.07,8.85
134,Sangkee Asian Kitchen,40.0628347,-75.13793079999998,restaurant,bicycle,1.69,13.87
135,Chef Donte's Delicious Dishes,40.0461198,-75.1440477,restaurant,bicycle,0.77,6.05
136,Newman's Grill,40.03887260000001,-75.17760369999998,restaurant,bicycle,1.82,14.38
137,X Mark's the Spot Bar and Grille,40.06010260000001,-75.16680459999998,restaurant,bicycle,1.0,8.77
138,DuBu,40.0630569,-75.1376877,restaurant,bicycle,1.71,14.0
