,name,lat,lng,category,mode,dist,time
32,Lovett Park,40.056119,-75.18740799999998,recreation,pedestrian,0.37,10.52
33,Pastorius Park,40.070145,-75.204821,recreation,bicycle,1.54,11.78
34,Water Tower Recreation Center,40.075363,-75.200536,recreation,bicycle,1.76,14.35
35,Vernon Park,40.036533,-75.17555899999998,recreation,bicycle,1.65,12.48
36,Charles M Finley Playground,40.064661,-75.170728,recreation,bicycle,1.65,13.2
37,Cliveden Park,40.051748,-75.177187,recreation,bicycle,1.02,8.12
38,Waterview Recreation Center,40.04515900000001,-75.167753,recreation,bicycle,1.89,14.33
39,Pleasant Playground,40.056566,-75.182799,recreation,bicycle,0.67,5.88
40,Mount Airy Playground,40.057999,-75.187871,recreation,bicycle,0.37,4.13
41,Daniel E Rumph II Recreation Center,40.04779600000001,-75.18007,recreation,bicycle,0.98,8.32
42,Morton Playground,40.039965,-75.174346,recreation,bicycle,1.78,13.87
43,Lovett Park,40.056119,-75.18740799999998,recreation,bicycle,0.39,3.88
44,Winston Park,40.072856,-75.198977,recreation,bicycle,1.57,12.85
45,Woodward Pines,40.067455,-75.203177,recreation,bicycle,1.37,10.52
46,Market Square Park,40.03431,-75.172262,recreation,bicycle,1.9,14.63
47,Ned Wolf Park,40.048875,-75.196575,recreation,bicycle,0.67,5.93
48,Charles J Buckley Park,40.073283,-75.202316,recreation,bicycle,1.67,14.0
49,Wissahickon East,40.069342,-75.191301,recreation,bicycle,1.28,11.08
50,Allens Lane Art Center,40.051671,-75.202177,recreation,bicycle,0.86,7.02
51,Carpenters Woods,40.044137,-75.20006,recreation,bicycle,1.09,8.83
52,Dodge Tract,40.058897,-75.211136,recreation,bicycle,1.7,13.68
53,Historic Rittenhouse Town,40.031207,-75.188447,recreation,bicycle,1.96,13.4
54,Clifford Park,40.03285,-75.189883,recreation,bicycle,1.83,13.5
55,Blue Bell Park,40.03312800000001,-75.196051,recreation,bicycle,1.89,14.05
56,Weavers Way Co-op,40.0465657,-75.1960213,supermarket,bicycle,0.81,6.63
57,The Fresh Market,40.0731849,-75.2032318,supermarket,bicycle,1.72,14.6
58,Save A Lot,40.051316799999995,-75.17359920000001,supermarket,bicycle,1.32,10.22
59,Family Dollar,40.043985600000006,-75.19074300000003,supermarket,bicycle,0.91,6.25
60,YMG Stenton Supermarket,40.0604406,-75.1673986,supermarket,bicycle,1.84,14.58
61,Hans Family Discount Store,40.0379463,-75.17669149999998,supermarket,bicycle,1.54,11.68
62,Family Dollar,40.0346189,-75.17542309999997,supermarket,bicycle,1.81,13.72
63,Earth Bread + Brewery,40.0591514,-75.1904672,restaurant,pedestrian,0.46,12.65
64,Tiffin Indian Cuisine Mt Airy,40.053028999999995,-75.195697,restaurant,pedestrian,0.37,10.35
65,High Point Cafe,40.057516899999996,-75.19462370000002,restaurant,pedestrian,0.33,9.4
66,Mi Puebla Restaurant & Bakery,40.05994739999999,-75.190747,restaurant,pedestrian,0.52,14.53
67,Trattoria Moma,40.0593149,-75.19004709999999,restaurant,pedestrian,0.47,13.18
68,Cresheim Valley Grain Exchange,40.0596009,-75.1907583,restaurant,pedestrian,0.53,14.82
69,Evo Brick Oven Pizza,40.05461,-75.19397,restaurant,pedestrian,0.21,5.98
70,Hong Kong Restaurant,40.05321349999999,-75.1859116,restaurant,pedestrian,0.39,10.97
71,Earth Bread + Brewery,40.0591514,-75.1904672,restaurant,bicycle,0.49,4.82
72,CinCin Restaurant,40.0691943,-75.1998158,restaurant,bicycle,1.38,11.47
73,Mr Hook Fish & Chicken,40.035719,-75.17425899999998,restaurant,bicycle,1.74,13.15
